,northing, easting, zone, longitude, latitude,distance_km
2184,4476914,438073.3,30,-3.730190591267717,40.44056985202421,3.4714882256158663
2185,4477001,438433.0,30,-3.7259580486731263,40.44138029217832,3.321184223154688
2186,4477025,438428.3,30,-3.726015789815971,40.44159614549288,3.3436197218680364
2187,4476369,439134.0,30,-3.717632389998674,40.43573858576792,2.4121340753383222
2188,4473270,441322.0,30,-3.691550935263893,40.40797853903062,1.4154218858892849
2189,4472941,441277.0,30,-3.6920508897373407,40.40501156628572,1.637771582144435
2190,4471059,440471.0,30,-3.7013729832495015,40.38800031629461,3.2159219218995476
2191,4471072,440436.0,30,-3.7017865408738033,40.3881149252908,3.2014853378032746
2192,4471041,440229.4,30,-3.7042176314260233,40.38782086376611,3.231746566699815
2193,4471026,440233.0,30,-3.704173811878524,40.38768599431427,3.24664590554669
2194,4471002,439928.0,30,-3.7077647943477303,40.38744785273214,3.2930391864335156
2195,4470991,439973.0,30,-3.707233608749864,40.38735200277588,3.298906971334015
2196,4470972,439632.0,30,-3.7112491519694144,40.38715620103404,3.370743840856803
2197,4470950,439652.0,30,-3.7110114472496383,40.38695946297461,3.388279150255663
2198,4470977,439280.0,30,-3.7153965483295472,40.387175662251416,3.455217370520492
2199,4470956,439365.0,30,-3.7143931624227458,40.38699267473927,3.4507203050554
2200,4470979,439065.0,30,-3.717929658454765,40.38717798114242,3.5241562630945187
2201,4470939,438822.0,30,-3.720788602723143,40.38679983248712,3.654428525846175
2202,4470864,438700.0,30,-3.722218660636678,40.38611522842314,3.7737918344050225
2203,4470816,438646.5,30,-3.722844311786091,40.38567888310934,3.840248847580602
2204,4470726,438512.0,30,-3.724420135028957,40.38485820424652,3.980800169341146
2205,4470474,438278.0,30,-3.727152381096372,40.38257076578719,4.3127772975867815
2206,4470485,438315.8,30,-3.726708154790681,40.3826726582772,4.285258419632858
2207,4470359,438145.0,30,-3.7287079824481912,40.38152492829485,4.477571652511135
2208,4470347,438161.0,30,-3.728518337837513,40.38141801413809,4.480323132621851
2209,4470129,437931.0,30,-3.731206499725265,40.37943706603459,4.783303299465304
2210,4470126,437957.0,30,-3.730899937179459,40.37941197679245,4.772961213706296
2211,4470034,437866.0,30,-3.7319629135972017,40.378576416951006,4.8981229972599465
2212,4469996,437728.0,30,-3.73358476860634,40.37822379430435,5.001243254496099
2213,4469957,437736.0,30,-3.7334867231336593,40.37787306162176,5.0305197772223105
2214,4470153,437489.0,30,-3.736415447469135,40.37962022994298,4.9991647633445115
2215,4470133,437486.0,30,-3.736448824511392,40.37943983560095,5.017357026478916
2216,4469951,437359.0,30,-3.73792694703395,40.37779075834352,5.2393576912246695
2217,4469978,437373.9,30,-3.737754088146092,40.37803510672819,5.208653918736676
2218,4469761,437382.0,30,-3.7376373557219713,40.37608087827548,5.384575663893272
2219,4469693,437156.2,30,-3.7402903555313713,40.375451306934906,5.56698450923039
2220,4469721,437105.5,30,-3.7408903093121495,40.37569971936736,5.573089728841053
2221,4469803,437340.9,30,-3.738125602789768,40.37645614483043,5.372135657108544
2222,4469635,436854.7,30,-3.743835950649936,40.37490602781014,5.790239929099234
2223,4469620,436829.8,30,-3.74412775649214,40.37476901407789,5.8171847424562655
2224,4469655,436652.4,30,-3.746220790742427,40.37507084529966,5.89798743757477
2225,4469878,436716.0,30,-3.745493797790485,40.37708456160416,5.684468593036351
2226,4469867,436686.0,30,-3.74584608061418,40.376983190043966,5.71203753075139
2227,4470001,436541.6,30,-3.7475603339210855,40.37817933885336,5.704024886054632
2228,4469981,436533.0,30,-3.7476596448326935,40.37799851505657,5.724711586511212
2229,4470806,438402.3,30,-3.725720200893484,40.38557077922045,3.9616873628555003
2230,4470804,438233.5,30,-3.7277085912295886,40.385540265006405,4.047920400104964
2231,4470866,438113.0,30,-3.7291341887478735,40.3860898478722,4.05923940044291
2232,4470944,437841.9,30,-3.732335571862879,40.38677232563089,4.150155884595779
2233,4470792,437857.4,30,-3.7321381409638494,40.38540419557136,4.264053005537869
2234,4470825,438109.3,30,-3.729173794606149,40.38572022577627,4.095707871938756
2235,4470824,438227.8,30,-3.7277776804753806,40.38572001185484,4.033752599918116
2236,4471062,438381.4,30,-3.725991179568254,40.38787540316545,3.750504240088554
2237,4470982,438719.1,30,-3.722004997981829,40.387179634484646,3.6591490314327926
2238,4471001,438720.0,30,-3.721996222811847,40.38735086183475,3.641675987536732
2239,4476208,443188.5,30,-3.669817169410913,40.43457506509386,3.4618174162706397
2240,4476474,443922.0,30,-3.661193103731336,40.437021112040846,4.223058213976384
2241,4476627,443808.8,30,-3.66254124483862,40.43839177400804,4.210641503032549
2242,4476401,444421.0,30,-3.655303577586993,40.436396987997455,4.621997359304445
2243,4476438,444422.0,30,-3.655295023920415,40.436730370464986,4.6400670101260495
2244,4477818,440293.4,30,-3.7040998139864554,40.448875844822616,3.5490850898185715
2245,4477817,440318.9,30,-3.703799028632187,40.44886866753513,3.5479759111116165
2246,4477846,440378.4,30,-3.7031001380220574,40.44913418137517,3.5774417289337475
2247,4475645,448106.0,30,-3.611796331662478,40.42982458386006,7.908014856633509
2248,4476296,448149.9,30,-3.611331915966207,40.4356919286759,8.089369597086314
2249,4476275,448192.0,30,-3.610833856081954,40.435505371532784,8.124938364262116
2250,4475955,448235.0,30,-3.610300834327264,40.432625292919816,8.0939717269227
2251,4476550,448270.1,30,-3.609935467173964,40.43798760061484,8.272248650023789
2252,4471101,444217.4,30,-3.657239277120688,40.388637965041134,5.02415657067961
2253,4476711,448325.0,30,-3.609301282470848,40.43944139967543,8.370607382968691
2254,4474422,440435.6,30,-3.702104740781986,40.4182933576708,0.19002083358332292
2255,4475593,445004.0,30,-3.648360226383629,40.42915683804555,4.867682545396205
2256,4474287,440253.2,30,-3.704241913499822,40.41706413884803,0.07013978219660537
2257,4473026,438973.0,30,-3.7192097029649775,40.40561159093412,1.8353592048253524
2258,4472814,438630.0,30,-3.723231248591416,40.40367658615584,2.232664291448955
2259,4478368,442971.0,30,-3.6725752886241976,40.45401851230954,4.881520534179923
2260,4478536,443159.0,30,-3.670373283624302,40.45554481462649,5.125200893642046
2261,4478784,443174.3,30,-3.670215049509358,40.45777996200113,5.34169193352771
2262,4479120,443167.0,30,-3.6703312267622943,40.46080630798557,5.624980648783542
2263,4479371,443304.0,30,-3.668737873114924,40.463076792136256,5.91090731935092
