northing, easting, zone, longitude, latitude
4480432,433743.5,30,-3.78160697224312,40.47192715476499
4480271,433481.3,30,-3.7846829055372666,40.470455874804586
4479857,433656,30,-3.782578960336493,40.46674043950886
4479467,433632,30,-3.782821243928133,40.46322531126925
4479245,433613.6,30,-3.7830150335339288,40.461224012485644
4479860,433677.3,30,-3.7823280461208357,40.46676916491994
4480247,433502,30,-3.784436225502067,40.47024133485356
4480406,433810.5,30,-3.780813951178445,40.4716982825812
4480525,442820,30,-3.6745503575494913,40.473439371260476
4480424,431468,30,-3.8084469677795125,40.47167046184527
4480560,430783,30,-3.8165417277806015,40.47283877085329
4480564,430804,30,-3.816294454405772,40.47287655320219
4480099,431172,30,-3.8119031789611304,40.46871833454195
4480129,431137,30,-3.8123192599760385,40.468985678813404
4480348,430685,30,-3.817674540738307,40.4709208712272
4480498,430840,30,-3.815862612845655,40.472285013680505
4480366,431175,30,-3.811896760328106,40.47112376252943
4480326,431416,30,-3.809049739455215,40.47078336953031
4477961,437709,30,-3.734588471742005,40.44997440051632
4480263,446051,30,-3.6364143843800365,40.471295295752576
4479802,441636,30,-3.6884504982823647,40.46684392999104
4479809,441681.1,30,-3.6879191871760417,40.46691015617537
4479932,441772,30,-3.686858308600302,40.46802456852985
4479957,441756,30,-3.687049327006953,40.468248657457075
4479449,441610.7,30,-3.688716429410343,40.46366217847672
4479446,441649.5,30,-3.6882585291801235,40.4636378790129
4479055,441580,30,-3.689042250744607,40.460110699498756
4479229,441632,30,-3.688444973835311,40.461681820785934
4478865,441564.3,30,-3.689209921669736,40.458397993382434
4478771,441595.1,30,-3.6888380323836603,40.45755336572936
4478641,441544.4,30,-3.6894239854193693,40.45637870433621
4478640,441584.1,30,-3.6889557046544637,40.4563724873773
4476712,447446.1,30,-3.6196639280169833,40.43939532667106
4478299,441510.8,30,-3.6897887282638457,40.45329545437643
4478300,441557.1,30,-3.689242821653411,40.453307719706736
4478478,441571.3,30,-3.6890917473997735,40.454912220535476
4478313,441567.2,30,-3.6891249124986674,40.45342553957551
4478068,441497.4,30,-3.6899254659345937,40.451213561162454
4478063,441536.2,30,-3.689467465771119,40.4511712488547
4477755,441469.8,30,-3.6902220835889477,40.44839197475015
4477622,441452,30,-3.690419716144895,40.44719259768465
4477784,441511.7,30,-3.6897306792590756,40.44865616880095
4477476,441440,30,-3.690547753580623,40.445876518791614
4477441,441497,30,-3.689872424071431,40.44556523595815
4477136,441406,30,-3.6909172958115946,40.442811249321196
4477151,441476,30,-3.6900933222068435,40.44295130620238
4476843,441555.8,30,-3.6891240802678267,40.44018231349087
4476467,441649.3,30,-3.687987154060894,40.43680169612752
4476553,441699,30,-3.68740909396135,40.43757991024121
4476245,441686,30,-3.687534098689715,40.43480438945714
4476270,441748.5,30,-3.686799552567469,40.43503398115627
4475819,441598.9,30,-3.68852181136396,40.43096066752836
4475828,441660.6,30,-3.687795272832499,40.43104607350747
4475457,441525.9,30,-3.6893490894943253,40.42769446958006
4475232,441533,30,-3.6892447020356123,40.425668059839644
4475481,441589.8,30,-3.6885980313739344,40.42791516222225
4475123,441447.5,30,-3.6902425211178946,40.4246801220991
4474780,441274,30,-3.6922559965246164,40.42157798395675
4474709,441286.8,30,-3.6920985668471404,40.42093928470729
4474670,441349.3,30,-3.691358284455646,40.42059236131982
4474842,441392.2,30,-3.6908684773748095,40.42214484404038
4474829,441336,30,-3.6915297177086828,40.422023773284884
4474696,441290.1,30,-3.692058469719027,40.420822407216725
4474263,441174.5,30,-3.6933809925202006,40.416913567721295
4474319,441293,30,-3.691989488587488,40.41742641109767
4473956,441276.3,30,-3.6921528100912138,40.41415514919757
4473684,441342.2,30,-3.6913510486207217,40.4117094839924
4473699,441380.4,30,-3.690902229824344,40.411847302655744
4473446,441258.4,30,-3.6923166895025803,40.40955955068676
4473285,440817.6,30,-3.6974965322829663,40.408077960633754
4473251,440808,30,-3.697606502993157,40.40777098920444
4473192,440507.6,30,-3.7011410966877043,40.40721807480043
4473082,440988.5,30,-3.6954637006212714,40.40626136679894
4473049,441226.9,30,-3.6926512509780673,40.40598095018504
4473322,441294,30,-3.691885704258704,40.40844500733421
4474657,441057,30,-3.6948023917238717,40.42045459715751
4471883,442579.3,30,-3.6766088742257366,40.39557135847835
4481379,440218.6,30,-3.7053173240072317,40.48094935705368
4478361,441882.2,30,-3.6854146191416777,40.45388003101949
4478662,441838.2,30,-3.6859610752907157,40.45658849508206
4478663,441860,30,-3.6857040748482346,40.45659902891727
4478973,441959.9,30,-3.6845542772091857,40.45939862925903
4478957,441982,30,-3.6842921737903387,40.459256037486725
4479187,441978,30,-3.684360374295635,40.4613276994327
4479146,441998.4,30,-3.6841160288636043,40.46095977767764
4479449,442000.7,30,-3.6841165938675275,40.46368949475988
4479413,442020.4,30,-3.683880953913651,40.46336656603198
4479538,442071.9,30,-3.6832849527844918,40.46449621279672
4479500,442077,30,-3.6832213317190403,40.46415424780437
4479376,442266,30,-3.6809808813601643,40.4630503559963
4479349,442267.6,30,-3.6809595541445086,40.46280723922867
4479286,442417.7,30,-3.6791835112726345,40.46225012306323
4479266,442421.4,30,-3.6791380581366853,40.46207021053172
4479327,442734,30,-3.675456697545365,40.46264132959642
4479333,442766,30,-3.6750798211652236,40.46269758520744
4479256,442717,30,-3.6756507920180295,40.46200055756919
4479520,442771.1,30,-3.67503653415916,40.464382517112305
4479514,442795.3,30,-3.674750563905276,40.46433013298393
4479809,442820.7,30,-3.6744775645673036,40.466989374257544
4479849,442853,30,-3.674100186898866,40.46735193472134
4480192,442993.1,30,-3.6724785103159983,40.470451458368636
4480155,443004,30,-3.6723466132514178,40.470118893818125
4480435,443025,30,-3.6721240541065447,40.47264269924477
4480801,442680.8,30,-3.676217329736581,40.47591610390399
4481105,442773.3,30,-3.675153575572088,40.478661045893446
4481395,442831,30,-3.6744990296672113,40.48127746425843
4481366,442854,30,-3.674225072008,40.48101780313071
4481562,442876,30,-3.673983186120215,40.48278496836594
4481522,442901.8,30,-3.673675199767574,40.482426405992285
4481403,443140,30,-3.6708542993388953,40.4813707489838
4481427,443100.7,30,-3.6713200982070338,40.481584259202926
4481212,443247.6,30,-3.6695677831956903,40.47965749901316
4481168,443241.7,30,-3.6696334486881614,40.47926072450538
4481103,443407,30,-3.6676775668293278,40.47868645773447
4481096,443444,30,-3.667240448956433,40.478625919375084
4481362,443446.3,30,-3.6672370402540815,40.481022321434224
4481288,443453,30,-3.6671513971905205,40.48035615316079
4481502,443554,30,-3.6659789098327336,40.48229083148025
4481463,443552.8,30,-3.665989594865717,40.481939420736815
4481736,443752,30,-3.66366371453163,40.48441224385456
4481713,443784,30,-3.6632841346248757,40.48420721703762
4480914,442816,30,-3.6746326158952556,40.476943377099765
4480691,442832.3,30,-3.6744202265628596,40.474935618496275
4475743,443348,30,-3.6678953116899087,40.43039698579589
4475370,443367,30,-3.6676380973128486,40.42703810143339
4475330,443401.4,30,-3.6672290258843905,40.42668010153526
4475012,443341,30,-3.6679126852030848,40.423811279062754
4475094,443382,30,-3.667436697996717,40.42455276939245
4474947,443313,30,-3.6682369413495186,40.423223817538506
4474919,443313,30,-3.6682344452375526,40.42297157874755
4474968,443008,30,-3.671833986670961,40.42339216069387
4474938,443006,30,-3.6718548726547504,40.423121768056106
4474988,442730,30,-3.6751126966799434,40.423553242176474
4474960,442724,30,-3.6751808993945594,40.423300590743985
4474990,442389,30,-3.679132401824156,40.42354771752062
4474960,442361,30,-3.679459731228108,40.42327552306261
4474876,441643,30,-3.687915370826163,40.422468760501
4474766,441721.1,30,-3.6869847057964074,40.42148330000199
4474864,441700.8,30,-3.6872329677625557,40.422364710427054
4474690,440966.6,30,-3.6958709885316265,40.42074546859505
4474849,440432.6,30,-3.702180094261,40.422139759120675
4474817,440454,30,-3.7019248527675446,40.421853019939455
4474966,440110,30,-3.7059936469737194,40.42317059127129
4474939,440094,30,-3.706179700514831,40.42292621110789
4475146,439905,30,-3.708427059250721,40.42477733125248
4475153,439836,30,-3.7092410657635932,40.42483540362092
4475481,439657,30,-3.7113821774334665,40.427777209017506
4475489,439617,30,-3.711854461812832,40.427846374111546
4474856,441931.1,30,-3.684517637062932,40.422308746829984
4475683,439580,30,-3.712309060913515,40.429591324209134
4475985,439740,30,-3.710451542273815,40.43232347782495
4476370,439765,30,-3.7101933091187016,40.4357935348209
4477090,440062.1,30,-3.706758562507622,40.44230106974516
4477321,439899.2,30,-3.708701116011771,40.444370255995125
4477195,439694,30,-3.7111086702726754,40.44322033710375
4477307,439470.4,30,-3.7137557670056562,40.444213030959695
4477442,439467.3,30,-3.7138051842688284,40.445428940304765
4477687,439543.2,30,-3.7129335534869083,40.44764152272158
4477692,439695.7,30,-3.711135811806823,40.44769764114955
4477365,439672.6,30,-3.7113771386808314,40.444750215002934
4477218,439657,30,-3.7115471151099113,40.44342484616283
4476904,439638,30,-3.711741306200452,40.44059482434626
4476582,439617.3,30,-3.7119547652606646,40.43769261014953
4476327,439599.1,30,-3.712145102393879,40.435394140379756
4476044,439580,30,-3.71234337604228,40.432843368105694
4475704,439500,30,-3.7132541337112497,40.4297746867711
4474778,442491.1,30,-3.677909729653022,40.421644976521016
4474758,442475.2,30,-3.6780953358253052,40.42146370719639
4474456,442651.9,30,-3.6759853232260546,40.41875533170992
4474627,442717,30,-3.6752334153038806,40.420300272575
4474606,443035,30,-3.6714832983396173,40.42013292389192
4480009,442026.9,30,-3.6838587442849464,40.46873604512706
4480012,441988.2,30,-3.6843154982911126,40.46876036871368
4480065,442331.7,30,-3.680268612590608,40.46926173289527
4480086,442364,30,-3.6798895276209946,40.46945315172914
4480081,442495.1,30,-3.6783426870431373,40.46941719543008
4480056,442865.4,30,-3.6739725686323244,40.46921753616399
4480068,442872,30,-3.673895799243097,40.46932609143168
4479957,443078,30,-3.671455972604675,40.46834029490406
4479991,443076,30,-3.6714826138065964,40.46864644520256
4479954,443637,30,-3.6648621256102842,40.4683513851192
4479958,443666.8,30,-3.664510980210374,40.46838944033872
4480068,443652,30,-3.6646953209657376,40.46937936752199
4479563,443725,30,-3.6637894586450948,40.46483504003045
4479686,443728,30,-3.6637649824083174,40.465943285080265
4479346,443963,30,-3.660963154859062,40.46289628710095
4479173,444093.8,30,-3.65940521043298,40.46134663080405
4479133,444198,30,-3.658172747232758,40.46099329562181
4478866,444357,30,-3.656274086005991,40.45859869071905
4478903,444367.1,30,-3.6561582131832653,40.45893268124247
4478612,444531.6,30,-3.6541927219646024,40.4563222044566
4478638,444540.9,30,-3.654085316219467,40.45655704617064
4478327,444718.1,30,-3.6519684648277395,40.45376720653194
4478215,444806.3,30,-3.65091860352327,40.45276411494105
4478083,444854.3,30,-3.6503410932137834,40.45157817698424
4478018,444937,30,-3.6493602233062794,40.45099810586649
4477752,445069.2,30,-3.6477782686964746,40.4486105855166
4477788,445077,30,-3.647689405233584,40.44893540780763
4477530,445350.4,30,-3.644443279565395,40.446629225112574
4477567,445357,30,-3.644368638483945,40.44696297471441
4477444,445499.8,30,-3.6426742390696765,40.44586429840784
4477469,445507,30,-3.6425914855703123,40.44608998383906
4477222,445724.9,30,-3.640001015471899,40.443879127337205
4477132,445807.5,30,-3.6390193924615417,40.44307374591962
4476835,445931,30,-3.6375379309057148,40.44040624567147
4476855,445969,30,-3.6370915928034906,40.44058888684272
4476707,446049,30,-3.6361357825647738,40.43926081445998
4476427,446159,30,-3.6348151233912827,40.436745545747684
4476445,446188,30,-3.634474741582081,40.43690957694738
4476166,446295,30,-3.6331896440898284,40.434403102283284
